"","Year","Month","SettlementPoint","AveragePrice"
"108",2016,8,"LZ_LCRA",31.1755779569892
"109",2016,8,"LZ_NORTH",30.1485752688172
"110",2016,8,"LZ_RAYBN",30.1497580645161
"111",2016,8,"LZ_SOUTH",31.8233064516129
"112",2016,8,"LZ_WEST",30.010564516129
"113",2016,9,"HB_BUSAVG",26.86175
"114",2016,9,"HB_HOUSTON",28.7424166666667
"115",2016,9,"HB_HUBAVG",27.1881388888889
"116",2016,9,"HB_NORTH",26.2491805555556
"117",2016,9,"HB_SOUTH",27.4055694444444
"118",2016,9,"HB_WEST",26.35425
"119",2016,9,"LZ_AEN",26.7108611111111
"120",2016,9,"LZ_CPS",28.13025
"121",2016,9,"LZ_HOUSTON",29.0326805555556
"122",2016,9,"LZ_LCRA",27.0399444444444
"123",2016,9,"LZ_NORTH",26.6058611111111
"124",2016,9,"LZ_RAYBN",26.4702638888889
"125",2016,9,"LZ_SOUTH",28.7620138888889
"126",2016,9,"LZ_WEST",26.7676666666667
"127",2016,10,"HB_BUSAVG",25.2048387096774
"128",2016,10,"HB_HOUSTON",28.2495564516129
"129",2016,10,"HB_HUBAVG",25.7690591397849
"130",2016,10,"HB_NORTH",24.0052553763441
"131",2016,10,"HB_SOUTH",26.6896639784946
"132",2016,10,"HB_WEST",24.113938172043
"133",2016,10,"LZ_AEN",25.6229032258064
"134",2016,10,"LZ_CPS",26.2502956989247
"135",2016,10,"LZ_HOUSTON",28.5458198924731
"136",2016,10,"LZ_LCRA",26.0684408602151
"137",2016,10,"LZ_NORTH",24.5326612903226
"138",2016,10,"LZ_RAYBN",24.4525134408602
"139",2016,10,"LZ_SOUTH",30.0310349462366
"140",2016,10,"LZ_WEST",25.1822580645161
"141",2016,11,"HB_BUSAVG",19.2449027777778
"142",2016,11,"HB_HOUSTON",20.3659305555556
"143",2016,11,"HB_HUBAVG",19.4893055555556
"144",2016,11,"HB_NORTH",18.6648888888889
"145",2016,11,"HB_SOUTH",20.1488333333333
"146",2016,11,"HB_WEST",18.7784166666667
"147",2016,11,"LZ_AEN",19.6400416666667
"148",2016,11,"LZ_CPS",21.7146666666667
"149",2016,11,"LZ_HOUSTON",20.4376805555556
